SourceName,FileType,FileName,FileSize,DeletedOn
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I1PKMW6.d,$I,C:\Users\esteb\AppData\Local\Temp\u2wg.d,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I24MXUY.7z,$I,C:\Users\esteb\Downloads\Installers\kali-linux-2023.3-vmware-amd64.7z,3194377166,2023-11-19 09:45:13
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I3ZS141.2,$I,C:\Users\esteb\AppData\Local\Temp\u2b8.2,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I4453TT.c,$I,C:\Users\esteb\AppData\Local\Temp\u2uw.c,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I50MBWX.exe,$I,C:\Users\esteb\Downloads\Apps\BitTorrent.exe,5275768,2022-09-03 04:54:28
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I59T846.b,$I,C:\Users\esteb\AppData\Local\Temp\u2ms.b,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I5D65F7.exe,$I,C:\Users\esteb\Downloads\Installers\dotnet-runtime-6.0.31-win-x86.exe,25604624,2024-06-10 17:26:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I63C0TJ.xlsx,$I,C:\Users\esteb\OneDrive\Desktop\for printing\alexi visagar\LOQ BENCHMARK.xlsx,10157,2024-05-14 07:26:43
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I701LGF.d,$I,C:\Users\esteb\AppData\Local\Temp\u2ms.d,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I732PV0.e,$I,C:\Users\esteb\AppData\Local\Temp\u2pc.e,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I74RW87.6,$I,C:\Users\esteb\AppData\Local\Temp\u2co.6,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I76W0KL.png,$I,C:\Users\esteb\OneDrive\Pictures\notion\Untitled (1) - Copy.png,1640180,2024-06-13 16:08:20
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I7R45ME,$I,C:\Users\esteb\OneDrive\Desktop\nssecu3-mp2\Output,0,2024-06-13 20:16:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I8GBK20.5,$I,C:\Users\esteb\AppData\Local\Temp\u2wg.5,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$I8PNBQK.4,$I,C:\Users\esteb\AppData\Local\Temp\u2wg.4,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IBO4HFV,$I,C:\Users\esteb\OneDrive\Desktop\nssecu3-mp2\RecentFileCacheParser,0,2024-06-12 18:10:05
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IBOFNH0.5,$I,C:\Users\esteb\AppData\Local\Temp\u2co.5,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IC42KIE.5,$I,C:\Users\esteb\AppData\Local\Temp\u2pc.5,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IC9A21Q.csv,$I,C:\Users\esteb\OneDrive\Desktop\nssecu3-mp2\RBCmd_parsed_output.csv,35177893,2024-06-13 19:53:21
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ICV6DK4.exe,$I,C:\Users\esteb\Downloads\Apps\BitTorrent.exe,5275768,2022-09-03 04:33:45
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ID4XJDH,$I,C:\Users\esteb\OneDrive\Desktop\nssecu3-mp2\Output,0,2024-06-13 20:13:23
