KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/acpi0003/4&79137cb&0,2024-06-30 15:47:46,,battery,{72631e54-78a4-11d0-bcf7-00aa00b7b32a},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft AC Adapter,00007fc736d805e4c47350a560dd4d6907003c103302,cmbatt.inf_amd64_b07733e4870147ad,cmbatt.sys,06-21-2006,10.0.22621.1,acpi,"acpi\ven_acpi&dev_0003,acpi\acpi0003,*acpi0003",cmbatt.inf,0,Microsoft,acpi\acpi0003,Microsoft AC Adapter,pci\ven_8086&dev_7a0c&subsys_380c17aa&rev_11\3&11583659&1&f8,0,Microsoft,cmbatt,"\driver\cmbatt,\driver\acpi"
acpi/acpi000c/2&daba3ff&1,2024-06-30 15:47:46,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Processor Aggregator,0000a9272f7bef5f7dd1bff1a5a4652c68fdc19db5b1,acpipagr.inf_amd64_12875bf68ca4d570,acpipagr.sys,06-21-2006,10.0.22621.1,acpi,"acpi\ven_acpi&dev_000c,acpi\acpi000c,*acpi000c",acpipagr.inf,0,(Standard system devices),*acpi000c,ACPI Processor Aggregator,acpi_hal\pnp0c08\0,0,Microsoft,acpipagr,"\driver\acpipagr,\driver\acpi"
acpi/fixedbutton/2&daba3ff&1,2024-06-30 15:47:46,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_amd64_7a70b48d91e57025,,06-21-2006,10.0.22621.1,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/0,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/1,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/10,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/11,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/12,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/13,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_183_-_intel(r)_core(tm)_i7-14700hx/14,2024-06-30 15:47:46,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-14700HX,0000e5e13b182544a210f4e84a4b832ca9a9a362e8ec,cpu.inf_amd64_bb849c4bbf953f8d,intelppm.sys,04-21-2009,10.0.22621.3672,acpi,"acpi\ven_acpi&dev_0007,acpi\genuineintel_-_intel64_family_6_model_183,*genuineintel_-_intel64_family_6_model_183,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
