ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Office 16 Click-to-Run Licensing Component,000008a06d0e93b5a4cca2a7964ed37e122600000000,2024-06-29 03:00:23,3670a96d01da302927c0fb12b34a895c10b8b1eb,False,c:\program files\microsoft office\root\integration\addons\onedrivesetup.exe,OneDriveSetup.exe,.exe,1975-04-11 06:03:29,microsoft onedrive,52142512,23.038.0219.0001,23.038.0219.0001,,pe32_i386,False,23.38.219.1,23.38.219.1,658484544,1033,
NVIDIA Virtual Host Controller,00000b6d5082467280d2d218319aa311e37600000008,2024-06-25 07:25:07,27b2d7434d2280fbc49535c6837fae2c3525d169,False,c:\program files\nvidia corporation\installer2\nvvhci.{bac0ee65-8b6c-47f8-909f-0c99f607ea03}\amd64\nvvhci.sys,nvvhci.sys,.sys,2022-04-22 11:37:06,virtual usb host controller driver,60112,3.05.0.1,3.05.0.1,,pe64_amd64,False,305.0.0.0,305.0.0.0,107524720,1033,
NVIDIA Virtual Host Controller,00000b6d5082467280d2d218319aa311e37600000008,2024-06-25 07:25:07,ce82f9656390acfca58e873d8e70de4cdb3f31cb,False,c:\program files\nvidia corporation\installer2\nvvhci.{bac0ee65-8b6c-47f8-909f-0c99f607ea03}\x86\nvvhci.sys,nvvhci.sys,.sys,2022-04-22 11:36:57,virtual usb host controller driver,50384,3.05.0.1,3.05.0.1,,pe32_i386,False,305.0.0.0,305.0.0.0,107525264,1033,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\bin\x64_dx12\crashreporter\7za.exe,,.exe,2019-02-21 16:00:00,,0,,,,pe64_amd64,False,,,1056375616,0,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\bin\x64\crashreporter\7za.exe,,.exe,2019-02-21 16:00:00,,0,,,,pe64_amd64,False,,,1056359312,0,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\bin\x64_dx12\crashreporter\crashreporter.exe,,.exe,2051-09-26 22:10:15,,0,,,,pe32_clr_il,False,,,1056376376,0,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\bin\x64\crashreporter\crashreporter.exe,,.exe,2051-09-26 22:10:15,,0,,,,pe32_clr_il,False,,,1056360072,0,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\redprelauncher.exe,,.exe,2024-05-20 12:11:19,,0,,,,pe32_i386,False,,,1056428488,0,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\setup_redlauncher.exe,,.exe,2020-11-15 09:48:30,,0,,,,pe32_i386,False,,,1056428792,0,
The Witcher 3: Wild Hunt,000014702d9385cf27fd4f0cf75e025d02ec0000ffff,2024-07-02 17:12:55,,False,c:\program files (x86)\steam\steamapps\common\the witcher 3\bin\x64\witcher3.exe,,.exe,2024-05-23 21:27:14,,0,,,,pe64_amd64,False,,,1056400504,0,
