KeyName,LnkName,KeyLastWriteTimestamp
access.lnk|108d3342098bb528,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Access.lnk,2024-06-30 15:47:17
administrative t|18068bf5ed2e62f4,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools.lnk,2024-06-30 15:47:18
character map.ln|a9bafb4ca6647e44,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk,2024-06-30 15:47:17
command prompt f|74a292c88de62266,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\Command Prompt for vctl.lnk,2024-06-30 15:47:17
command prompt.l|752d04478c7bc632,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk,2024-06-30 15:47:18
component servic|359825efd3d8f6e7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk,2024-06-30 15:47:17
computer managem|234510a6c0bf02bf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk,2024-06-30 15:47:17
control panel.ln|7c846c59f88508af,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk,2024-06-30 15:47:18
database compare|6f60b41a86dbc791,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Database Compare.lnk,2024-06-30 15:47:17
dfrgui.lnk|6d94f7be43a3a3a6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\dfrgui.lnk,2024-06-30 15:47:17
discord.lnk|ad0ff7f8ab7f2ee9,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Discord Inc\Discord.lnk,2024-06-30 15:47:18
discord.lnk|e16325c31bec12a,c:\users\esteb\Desktop\Discord.lnk,2024-06-30 15:47:18
disk cleanup.lnk|62909f750f89c6e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk,2024-06-30 15:47:17
event viewer.lnk|53b878dde735fea7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,2024-06-30 15:47:17
excel.lnk|55a857be1a997a6a,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Excel.lnk,2024-06-30 15:47:17
excel.lnk|6eb92c6b9344de3a,c:\users\esteb\Desktop\Excel.lnk,2024-06-30 15:47:18
file explorer.ln|155aba64dfc22388,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\File Explorer.lnk,2024-06-30 15:47:18
geforce experien|ef183c7cbfb8987d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\NVIDIA Corporation\GeForce Experience.lnk,2024-06-30 15:47:17
google chrome.ln|32f2f2b02e508cef,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Google Chrome.lnk,2024-06-30 15:47:17
google chrome.ln|fd5a6049317900fa,C:\Users\Public\Desktop\Google Chrome.lnk,2024-06-30 15:47:17
google drive.lnk|c06157dce7b4c3c4,c:\users\esteb\Desktop\Google Drive.lnk,2024-06-30 15:47:18
google drive.lnk|fc9d2cfb746f9895,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Google Drive.lnk,2024-06-30 15:47:17
iscsi initiator.|afb67f6079313688,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk,2024-06-30 15:47:17
legion arena.lnk|5d0b8d31fd41ade0,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Legion Arena.lnk,2024-06-30 15:47:17
legion game shop|b4e2eb9f135cef4d,c:\users\esteb\Desktop\Legion Game Shop.lnk,2024-06-30 15:47:18
lenovo now.lnk|b0a4b06e99db0120,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Lenovo Now.lnk,2024-06-30 15:47:17
livecaptions.lnk|aebb22a54d9f2d9e,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\LiveCaptions.lnk,2024-06-30 15:47:18
magnify.lnk|f84c50b833eb2a8,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Magnify.lnk,2024-06-30 15:47:18
mcafee®.lnk|72f7543a54efbd9,c:\users\esteb\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Tombstones\McAfee®.lnk,2024-06-30 15:47:18
memory diagnosti|feac8b8d8877aa2c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Memory Diagnostics Tool.lnk,2024-06-30 15:47:17
